emoji,hexcode,hfg_tags,hfg_author
👅,1F445,"tongue, kiss, lick, licking",Julian Grüneberg
🖕,1F595,"finger, hand, fingering",Julian Grüneberg
🙏,1F64F,"ask, bow, folded, gesture, hand, please, pray, thanks",Julian Grüneberg
🤟,1F91F,"hand, love, heavy metal",Julian Grüneberg
🤲,1F932,"prayer, pray, god",Julian Grüneberg
🧠,1F9E0,"brain, intelligent, clever",Julian Grüneberg
✊,270A,"clenched, fist, hand, punch",Julian Grüneberg
✋,270B,"raise, raised, raised hand, hand",Julian Grüneberg
👁️‍🗨️,1F441-FE0F-200D-1F5E8-FE0F,"eye, speech bubble, witness",Julian Grüneberg
👣,1F463,"clothing, footprint, print",Julian Grüneberg
🖖,1F596,"finger, hand, spock, vulcan",Julian Grüneberg
🤳,1F933,"camera, phone",Julian Grüneberg
☝️,261D,"finger, hand, index, point, up",Julian Grüneberg
📓,1F4D3,"book, read, write",Jonas Roßner
📕,1F4D5,"book, read, write, closed",Jonas Roßner
📖,1F4D6,"book, read, write, open",Jonas Roßner
📚️,1F4DA,"book, read, write",Jonas Roßner
📄,1F4C4,"write, text, paper",Jonas Roßner
📰,1F4F0,"read, news, paper, text",Jonas Roßner
🔖,1F516,"remember,",Jonas Roßner
🏷️,1F3F7,"stick,",Jonas Roßner
📃,1F4C3,"rolled, page, text",Jonas Roßner
📒,1F4D2,"book, read, write",Jonas Roßner
📜,1F4DC,"old, papyrus, text",Jonas Roßner
😸,1F638,grinning,Emily Jäger
😹,1F639,"laughing, smile",Emily Jäger
😺,1F63A,grinning,Emily Jäger
😻,1F63B,"hearts, red",Emily Jäger
😼,1F63C,,Emily Jäger
😽,1F63D,,Emily Jäger
😾,1F63E,"sad, angry",Emily Jäger
😿,1F63F,"unhappy, depressed",Emily Jäger
🙀,1F640,wow,Emily Jäger
🎓️,1F393,,Jonas Roßner
👑,1F451,"crone, gold,",Jonas Roßner
👓️,1F453,,Jonas Roßner
💎,1F48E,"expensive,",Jonas Roßner
🕶️,1F576,sunglasses,Jonas Roßner
🛍️,1F6CD,"buy,",Jonas Roßner
🎒,1F392,"young,",Jonas Roßner
🎩,1F3A9,"magic,",Jonas Roßner
👒,1F452,"beautiful,",Jonas Roßner
👔,1F454,"cravatte, smart",Jonas Roßner
👕,1F455,,Jonas Roßner
👖,1F456,,Jonas Roßner
👗,1F457,"beautiful, dress, woman",Jonas Roßner
👘,1F458,"japan, clothing",Jonas Roßner
👙,1F459,"summer,",Jonas Roßner
👚,1F45A,,Jonas Roßner
👛,1F45B,"money,",Jonas Roßner
👜,1F45C,,Jonas Roßner
👝,1F45D,,Jonas Roßner
👞,1F45E,,Jonas Roßner
👟,1F45F,,Jonas Roßner
👠,1F460,,Jonas Roßner
👡,1F461,,Jonas Roßner
👢,1F462,,Jonas Roßner
💍,1F48D,"expensive, jewelry",Jonas Roßner
📿,1F4FF,"expensive, jewelry",Jonas Roßner
💻️,1F4BB,"old, retro",Jonas Roßner
💽,1F4BD,"old, retro",Jonas Roßner
💾,1F4BE,"old, retro",Jonas Roßner
🔋,1F50B,"electricity, energy, electric",Jonas Roßner
🔌,1F50C,,Jonas Roßner
🖥️,1F5A5,"electric, screen",Jonas Roßner
🖱️,1F5B1,"electric, computer, mouse",Jonas Roßner
🖨️,1F5A8,"color, electric",Jonas Roßner
⌨️,2328,"key, write, electric",Jonas Roßner
💿️,1F4BF,"analog,",Jonas Roßner
📀,1F4C0,film,Jonas Roßner
🔪,1F52A,eat,Jonas Roßner
🍴,1F374,eat,Jonas Roßner
🍽️,1F37D,eat,Jonas Roßner
🥄,1F944,"metal, spoon, eat",Jonas Roßner
🥢,1F962,"sticks, eat, chopstick",Jonas Roßner
🍷,1F377,"classic, drink, beverage, alcohol",Laura Humpfer
🍸️,1F378,"classic, alcohol, elegant, party",Laura Humpfer
🍹,1F379,"cocktail, glass, drink, party, summer, party",Laura Humpfer
🍺,1F37A,"beer, german, alcohol, bavaria, party",Laura Humpfer
🍻,1F37B,"beer, german, party, alcohol, bavaria, party",Laura Humpfer
🍼,1F37C,"baby, drink, sweet",Laura Humpfer
🥂,1F942,"party, secco,",Laura Humpfer
🥤,1F964,"beverage, fastfood",Laura Humpfer
☕️,2615,,Laura Humpfer
🍵,1F375,"glass, hot",Laura Humpfer
🍶,1F376,,Laura Humpfer
🍾,1F37E,"party, celebrate, event",Laura Humpfer
🥃,1F943,"alcohol, classic",Laura Humpfer
🥛,1F95B,,Laura Humpfer
❤️,2764,"love, red",Laura Humpfer
💋,1F48B,love,Laura Humpfer
💔,1F494,heartbreak,Laura Humpfer
💕,1F495,,Laura Humpfer
💘,1F498,"love, inlove",Laura Humpfer
💬,1F4AC,talk,Laura Humpfer
💭,1F4AD,think,Laura Humpfer
💓,1F493,love,Laura Humpfer
💖,1F496,"love, inlove",Laura Humpfer
💗,1F497,"love, inlove",Laura Humpfer
💣️,1F4A3,explosion,Laura Humpfer
💥,1F4A5,explosion,Laura Humpfer
💨,1F4A8,,Laura Humpfer
❣️,2763,,Laura Humpfer
💌,1F48C,,Laura Humpfer
💙,1F499,,Laura Humpfer
💚,1F49A,,Laura Humpfer
💛,1F49B,,Laura Humpfer
💜,1F49C,,Laura Humpfer
💝,1F49D,"present, love",Laura Humpfer
💞,1F49E,,Laura Humpfer
💟,1F49F,,Laura Humpfer
💤,1F4A4,night,Laura Humpfer
💦,1F4A6,,Laura Humpfer
💫,1F4AB,shootingstar,Laura Humpfer
🕳️,1F573,,Laura Humpfer
🖤,1F5A4,,Laura Humpfer
🗨️,1F5E8,,Laura Humpfer
🗯️,1F5EF,,Laura Humpfer
🎁,1F381,"present, birthday, christmas",Laura Humpfer
🎃,1F383,pumpkin,Laura Humpfer
🎄,1F384,,Laura Humpfer
🎈,1F388,"balloon, birthday, party, decoration",Laura Humpfer
🎉,1F389,"decoration, happy",Laura Humpfer
🎊,1F38A,"decoration, happy",Laura Humpfer
🎗️,1F397,,Laura Humpfer
🎫,1F3AB,,Laura Humpfer
✨,2728,"magic, beautiful",Laura Humpfer
🎀,1F380,"present, gift, decoration, party, girl, girly, fashion",Laura Humpfer
🎋,1F38B,,Laura Humpfer
🎎,1F38E,,Laura Humpfer
🎟️,1F39F,,Laura Humpfer
👿,1F47F,mean,Mariella Steeb
💀,1F480,skull,Mariella Steeb
💩,1F4A9,,Mariella Steeb
😈,1F608,"malicious, sardonic",Mariella Steeb
🤖,1F916,,Mariella Steeb
☠️,2620,,Mariella Steeb
👻,1F47B,ghost,Mariella Steeb
👽️,1F47D,alien,Mariella Steeb
☹️,2639,negative,Mariella Steeb
😖,1F616,,Mariella Steeb
😞,1F61E,,Mariella Steeb
😟,1F61F,,Mariella Steeb
😠,1F620,,Mariella Steeb
😡,1F621,,Mariella Steeb
😢,1F622,,Mariella Steeb
😤,1F624,,Mariella Steeb
😦,1F626,,Mariella Steeb
😧,1F627,,Mariella Steeb
😨,1F628,,Mariella Steeb
😩,1F629,distraught,Mariella Steeb
😬,1F62C,awkward,Mariella Steeb
😭,1F62D,,Mariella Steeb
😰,1F630,"anxious, worried, considerate",Mariella Steeb
😱,1F631,open mouth,Mariella Steeb
😳,1F633,red jaws,Mariella Steeb
😵,1F635,dead eyes,Mariella Steeb
🙁,1F641,,Mariella Steeb
🤬,1F92C,angry,Mariella Steeb
🤪,1F92A,,Mariella Steeb
🤯,1F92F,explosion,Mariella Steeb
😌,1F60C,,Mariella Steeb
😏,1F60F,,Mariella Steeb
😐️,1F610,,Mariella Steeb
😑,1F611,,Mariella Steeb
😒,1F612,,Mariella Steeb
😓,1F613,,Mariella Steeb
😔,1F614,,Mariella Steeb
😕,1F615,,Mariella Steeb
😛,1F61B,,Mariella Steeb
😜,1F61C,,Mariella Steeb
😝,1F61D,,Mariella Steeb
😣,1F623,,Mariella Steeb
😥,1F625,,Mariella Steeb
😪,1F62A,"snot bubble, side-tear",Mariella Steeb
😫,1F62B,exhausted,Mariella Steeb
😮,1F62E,,Mariella Steeb
😯,1F62F,,Mariella Steeb
😲,1F632,,Emily Jäger
😴,1F634,tired,Emily Jäger
😶,1F636,shhh,Emily Jäger
🙃,1F643,turn,Emily Jäger
