emoji,hexcode,group,subgroups,annotation,tags,hfg_tags,hfg_author,skintone,skintone_base_emoji,skintone_base_hexcode,unicode,order
🖖🏼,1F596-1F3FC,smileys-people,body,vulcan salute: medium-light skin tone,,,Julian Grüneberg,2,🖖,1F596,2,1968
🖖🏽,1F596-1F3FD,smileys-people,body,vulcan salute: medium skin tone,,,Julian Grüneberg,3,🖖,1F596,2,1969
🖖🏾,1F596-1F3FE,smileys-people,body,vulcan salute: medium-dark skin tone,,,Julian Grüneberg,4,🖖,1F596,2,1970
🖖🏿,1F596-1F3FF,smileys-people,body,vulcan salute: dark skin tone,,,Julian Grüneberg,5,🖖,1F596,2,1971
🤘,1F918,smileys-people,body,sign of the horns,"finger, hand, horns, rock-on","rock on, finger, hand, horns, rock-on, rock, Devil, Devil Fingers, Heavy, Metal, Heavy Metal, rock",Julian Grüneberg,,🤘,1F918,1,1972
🤘🏻,1F918-1F3FB,smileys-people,body,sign of the horns: light skin tone,,,Julian Grüneberg,1,🤘,1F918,2,1973
🤘🏼,1F918-1F3FC,smileys-people,body,sign of the horns: medium-light skin tone,,,Julian Grüneberg,2,🤘,1F918,2,1974
🤘🏽,1F918-1F3FD,smileys-people,body,sign of the horns: medium skin tone,,,Julian Grüneberg,3,🤘,1F918,2,1975
🤘🏾,1F918-1F3FE,smileys-people,body,sign of the horns: medium-dark skin tone,,,Julian Grüneberg,4,🤘,1F918,2,1976
🤘🏿,1F918-1F3FF,smileys-people,body,sign of the horns: dark skin tone,,,Julian Grüneberg,5,🤘,1F918,2,1977
🤙,1F919,smileys-people,body,call me hand,"call, hand","Call Me Hand, call, hand, Phone, Shaka",Julian Grüneberg,,🤙,1F919,3,1978
🤙🏻,1F919-1F3FB,smileys-people,body,call me hand: light skin tone,,,Julian Grüneberg,1,🤙,1F919,3,1979
🤙🏼,1F919-1F3FC,smileys-people,body,call me hand: medium-light skin tone,,,Julian Grüneberg,2,🤙,1F919,3,1980
🤙🏽,1F919-1F3FD,smileys-people,body,call me hand: medium skin tone,,,Julian Grüneberg,3,🤙,1F919,3,1981
🤙🏾,1F919-1F3FE,smileys-people,body,call me hand: medium-dark skin tone,,,Julian Grüneberg,4,🤙,1F919,3,1982
🤙🏿,1F919-1F3FF,smileys-people,body,call me hand: dark skin tone,,,Julian Grüneberg,5,🤙,1F919,3,1983
🖐️,1F590,smileys-people,body,hand with fingers splayed,"finger, hand, splayed","Five Hand, Hand, Five, Splayed",Julian Grüneberg,,🖐️,1F590,1,1985
🖐🏻,1F590-1F3FB,smileys-people,body,hand with fingers splayed: light skin tone,,,Julian Grüneberg,1,🖐️,1F590,2,1986
🖐🏼,1F590-1F3FC,smileys-people,body,hand with fingers splayed: medium-light skin tone,,,Julian Grüneberg,2,🖐️,1F590,2,1987
🖐🏽,1F590-1F3FD,smileys-people,body,hand with fingers splayed: medium skin tone,,,Julian Grüneberg,3,🖐️,1F590,2,1988
🖐🏾,1F590-1F3FE,smileys-people,body,hand with fingers splayed: medium-dark skin tone,,,Julian Grüneberg,4,🖐️,1F590,2,1989
🖐🏿,1F590-1F3FF,smileys-people,body,hand with fingers splayed: dark skin tone,,,Julian Grüneberg,5,🖐️,1F590,2,1990
✋,270B,smileys-people,body,raised hand,hand,"raise, raised, raised hand, hand",Julian Grüneberg,,✋,270B,1,1991
✋🏻,270B-1F3FB,smileys-people,body,raised hand: light skin tone,,,Julian Grüneberg,1,✋,270B,2,1992
✋🏼,270B-1F3FC,smileys-people,body,raised hand: medium-light skin tone,,,Julian Grüneberg,2,✋,270B,2,1993
✋🏽,270B-1F3FD,smileys-people,body,raised hand: medium skin tone,,,Julian Grüneberg,3,✋,270B,2,1994
✋🏾,270B-1F3FE,smileys-people,body,raised hand: medium-dark skin tone,,,Julian Grüneberg,4,✋,270B,2,1995
✋🏿,270B-1F3FF,smileys-people,body,raised hand: dark skin tone,,,Julian Grüneberg,5,✋,270B,2,1996
👌,1F44C,smileys-people,body,OK hand,"hand, ok","hand, ok, okay, perfect",Julian Grüneberg,,👌,1F44C,1,1997
👌🏻,1F44C-1F3FB,smileys-people,body,OK hand: light skin tone,,,Julian Grüneberg,1,👌,1F44C,2,1998
👌🏼,1F44C-1F3FC,smileys-people,body,OK hand: medium-light skin tone,,,Julian Grüneberg,2,👌,1F44C,2,1999
👌🏽,1F44C-1F3FD,smileys-people,body,OK hand: medium skin tone,,,Julian Grüneberg,3,👌,1F44C,2,2000
👌🏾,1F44C-1F3FE,smileys-people,body,OK hand: medium-dark skin tone,,,Julian Grüneberg,4,👌,1F44C,2,2001
👌🏿,1F44C-1F3FF,smileys-people,body,OK hand: dark skin tone,,,Julian Grüneberg,5,👌,1F44C,2,2002
👍️,1F44D,smileys-people,body,thumbs up,"+1, hand, thumb, up","Like, yes, +1, hand, thumb, up, thumbs up, thumbs up",Julian Grüneberg,,👍️,1F44D,1,2003
👍🏻,1F44D-1F3FB,smileys-people,body,thumbs up: light skin tone,,,Julian Grüneberg,1,👍️,1F44D,2,2004
👍🏼,1F44D-1F3FC,smileys-people,body,thumbs up: medium-light skin tone,,,Julian Grüneberg,2,👍️,1F44D,2,2005
👍🏽,1F44D-1F3FD,smileys-people,body,thumbs up: medium skin tone,,,Julian Grüneberg,3,👍️,1F44D,2,2006
👍🏾,1F44D-1F3FE,smileys-people,body,thumbs up: medium-dark skin tone,,,Julian Grüneberg,4,👍️,1F44D,2,2007
👍🏿,1F44D-1F3FF,smileys-people,body,thumbs up: dark skin tone,,,Julian Grüneberg,5,👍️,1F44D,2,2008
👎️,1F44E,smileys-people,body,thumbs down,"-1, down, hand, thumb","Dislike no, Thumbs Down, Thumbs Down sign, -1, down, hand, thumb, thumbs",Julian Grüneberg,,👎️,1F44E,1,2009
👎🏻,1F44E-1F3FB,smileys-people,body,thumbs down: light skin tone,,,Julian Grüneberg,1,👎️,1F44E,2,2010
👎🏼,1F44E-1F3FC,smileys-people,body,thumbs down: medium-light skin tone,,,Julian Grüneberg,2,👎️,1F44E,2,2011
👎🏽,1F44E-1F3FD,smileys-people,body,thumbs down: medium skin tone,,,Julian Grüneberg,3,👎️,1F44E,2,2012
👎🏾,1F44E-1F3FE,smileys-people,body,thumbs down: medium-dark skin tone,,,Julian Grüneberg,4,👎️,1F44E,2,2013
👎🏿,1F44E-1F3FF,smileys-people,body,thumbs down: dark skin tone,,,Julian Grüneberg,5,👎️,1F44E,2,2014
✊,270A,smileys-people,body,raised fist,"clenched, fist, hand, punch","clenched, fist, hand, punch",Julian Grüneberg,,✊,270A,1,2015
✊🏻,270A-1F3FB,smileys-people,body,raised fist: light skin tone,,,Julian Grüneberg,1,✊,270A,2,2016
✊🏼,270A-1F3FC,smileys-people,body,raised fist: medium-light skin tone,,,Julian Grüneberg,2,✊,270A,2,2017
✊🏽,270A-1F3FD,smileys-people,body,raised fist: medium skin tone,,,Julian Grüneberg,3,✊,270A,2,2018
✊🏾,270A-1F3FE,smileys-people,body,raised fist: medium-dark skin tone,,,Julian Grüneberg,4,✊,270A,2,2019
✊🏿,270A-1F3FF,smileys-people,body,raised fist: dark skin tone,,,Julian Grüneberg,5,✊,270A,2,2020
👊,1F44A,smileys-people,body,oncoming fist,"clenched, fist, hand, punch","clenched, fist, hand, punch, fist, oncoming fist, Brofist, Bro, Bump,",Julian Grüneberg,,👊,1F44A,1,2021
👊🏻,1F44A-1F3FB,smileys-people,body,oncoming fist: light skin tone,,,Julian Grüneberg,1,👊,1F44A,2,2022
👊🏼,1F44A-1F3FC,smileys-people,body,oncoming fist: medium-light skin tone,,,Julian Grüneberg,2,👊,1F44A,2,2023
👊🏽,1F44A-1F3FD,smileys-people,body,oncoming fist: medium skin tone,,,Julian Grüneberg,3,👊,1F44A,2,2024
👊🏾,1F44A-1F3FE,smileys-people,body,oncoming fist: medium-dark skin tone,,,Julian Grüneberg,4,👊,1F44A,2,2025
👊🏿,1F44A-1F3FF,smileys-people,body,oncoming fist: dark skin tone,,,Julian Grüneberg,5,👊,1F44A,2,2026
🤛,1F91B,smileys-people,body,left-facing fist,"fist, leftwards","Fist, left, leftwards, Left-Facing Fist",Julian Grüneberg,,🤛,1F91B,3,2027
🤛🏻,1F91B-1F3FB,smileys-people,body,left-facing fist: light skin tone,,,Julian Grüneberg,1,🤛,1F91B,3,2028
🤛🏼,1F91B-1F3FC,smileys-people,body,left-facing fist: medium-light skin tone,,,Julian Grüneberg,2,🤛,1F91B,3,2029
🤛🏽,1F91B-1F3FD,smileys-people,body,left-facing fist: medium skin tone,,,Julian Grüneberg,3,🤛,1F91B,3,2030
🤛🏾,1F91B-1F3FE,smileys-people,body,left-facing fist: medium-dark skin tone,,,Julian Grüneberg,4,🤛,1F91B,3,2031
🤛🏿,1F91B-1F3FF,smileys-people,body,left-facing fist: dark skin tone,,,Julian Grüneberg,5,🤛,1F91B,3,2032
🤜,1F91C,smileys-people,body,right-facing fist,"fist, rightwards","Right, fist, rightwards, right-Facing Fist",Julian Grüneberg,,🤜,1F91C,3,2033
🤜🏻,1F91C-1F3FB,smileys-people,body,right-facing fist: light skin tone,,,Julian Grüneberg,1,🤜,1F91C,3,2034
🤜🏼,1F91C-1F3FC,smileys-people,body,right-facing fist: medium-light skin tone,,,Julian Grüneberg,2,🤜,1F91C,3,2035
🤜🏽,1F91C-1F3FD,smileys-people,body,right-facing fist: medium skin tone,,,Julian Grüneberg,3,🤜,1F91C,3,2036
🤜🏾,1F91C-1F3FE,smileys-people,body,right-facing fist: medium-dark skin tone,,,Julian Grüneberg,4,🤜,1F91C,3,2037
🤜🏿,1F91C-1F3FF,smileys-people,body,right-facing fist: dark skin tone,,,Julian Grüneberg,5,🤜,1F91C,3,2038
🤚,1F91A,smileys-people,body,raised back of hand,"backhand, raised","Backhand, raised, hand",Julian Grüneberg,,🤚,1F91A,3,2039
🤚🏻,1F91A-1F3FB,smileys-people,body,raised back of hand: light skin tone,,,Julian Grüneberg,1,🤚,1F91A,3,2040
🤚🏼,1F91A-1F3FC,smileys-people,body,raised back of hand: medium-light skin tone,,,Julian Grüneberg,2,🤚,1F91A,3,2041
🤚🏽,1F91A-1F3FD,smileys-people,body,raised back of hand: medium skin tone,,,Julian Grüneberg,3,🤚,1F91A,3,2042
🤚🏾,1F91A-1F3FE,smileys-people,body,raised back of hand: medium-dark skin tone,,,Julian Grüneberg,4,🤚,1F91A,3,2043
🤚🏿,1F91A-1F3FF,smileys-people,body,raised back of hand: dark skin tone,,,Julian Grüneberg,5,🤚,1F91A,3,2044
👋,1F44B,smileys-people,body,waving hand,"hand, wave, waving","Hello, Goodbye, Waving Hand Sign, Wave",Julian Grüneberg,,👋,1F44B,1,2045
👋🏻,1F44B-1F3FB,smileys-people,body,waving hand: light skin tone,,,Julian Grüneberg,1,👋,1F44B,2,2046
👋🏼,1F44B-1F3FC,smileys-people,body,waving hand: medium-light skin tone,,,Julian Grüneberg,2,👋,1F44B,2,2047
👋🏽,1F44B-1F3FD,smileys-people,body,waving hand: medium skin tone,,,Julian Grüneberg,3,👋,1F44B,2,2048
👋🏾,1F44B-1F3FE,smileys-people,body,waving hand: medium-dark skin tone,,,Julian Grüneberg,4,👋,1F44B,2,2049
👋🏿,1F44B-1F3FF,smileys-people,body,waving hand: dark skin tone,,,Julian Grüneberg,5,👋,1F44B,2,2050
🤟,1F91F,smileys-people,body,love-you gesture,"hand, ily","hand, love, heavy metal",Julian Grüneberg,,🤟,1F91F,5,2051
🤟🏻,1F91F-1F3FB,smileys-people,body,love-you gesture: light skin tone,,,Julian Grüneberg,1,🤟,1F91F,5,2052
🤟🏼,1F91F-1F3FC,smileys-people,body,love-you gesture: medium-light skin tone,,,Julian Grüneberg,2,🤟,1F91F,5,2053
🤟🏽,1F91F-1F3FD,smileys-people,body,love-you gesture: medium skin tone,,,Julian Grüneberg,3,🤟,1F91F,5,2054
🤟🏾,1F91F-1F3FE,smileys-people,body,love-you gesture: medium-dark skin tone,,,Julian Grüneberg,4,🤟,1F91F,5,2055
🤟🏿,1F91F-1F3FF,smileys-people,body,love-you gesture: dark skin tone,,,Julian Grüneberg,5,🤟,1F91F,5,2056
✍️,270D,smileys-people,body,writing hand,"hand, write","Writing Hand, Writing, Write",Julian Grüneberg,,✍️,270D,1,2058
✍🏻,270D-1F3FB,smileys-people,body,writing hand: light skin tone,,,Julian Grüneberg,1,✍️,270D,2,2059
✍🏼,270D-1F3FC,smileys-people,body,writing hand: medium-light skin tone,,,Julian Grüneberg,2,✍️,270D,2,2060
✍🏽,270D-1F3FD,smileys-people,body,writing hand: medium skin tone,,,Julian Grüneberg,3,✍️,270D,2,2061
✍🏾,270D-1F3FE,smileys-people,body,writing hand: medium-dark skin tone,,,Julian Grüneberg,4,✍️,270D,2,2062
✍🏿,270D-1F3FF,smileys-people,body,writing hand: dark skin tone,,,Julian Grüneberg,5,✍️,270D,2,2063
👏,1F44F,smileys-people,body,clapping hands,"clap, hand","clap, hand, clapping hands, Applause, Clap, Clapping, Golf Clap, Round Of Applause",Julian Grüneberg,,👏,1F44F,1,2064
👏🏻,1F44F-1F3FB,smileys-people,body,clapping hands: light skin tone,,,Julian Grüneberg,1,👏,1F44F,2,2065
👏🏼,1F44F-1F3FC,smileys-people,body,clapping hands: medium-light skin tone,,,Julian Grüneberg,2,👏,1F44F,2,2066
👏🏽,1F44F-1F3FD,smileys-people,body,clapping hands: medium skin tone,,,Julian Grüneberg,3,👏,1F44F,2,2067
👏🏾,1F44F-1F3FE,smileys-people,body,clapping hands: medium-dark skin tone,,,Julian Grüneberg,4,👏,1F44F,2,2068
👏🏿,1F44F-1F3FF,smileys-people,body,clapping hands: dark skin tone,,,Julian Grüneberg,5,👏,1F44F,2,2069
👐,1F450,smileys-people,body,open hands,"hand, open","Hug, Open Hands, Open, Hands, Jazz Hands, Jazz",Julian Grüneberg,,👐,1F450,1,2070
👐🏻,1F450-1F3FB,smileys-people,body,open hands: light skin tone,,,Julian Grüneberg,1,👐,1F450,2,2071
👐🏼,1F450-1F3FC,smileys-people,body,open hands: medium-light skin tone,,,Julian Grüneberg,2,👐,1F450,2,2072
👐🏽,1F450-1F3FD,smileys-people,body,open hands: medium skin tone,,,Julian Grüneberg,3,👐,1F450,2,2073
👐🏾,1F450-1F3FE,smileys-people,body,open hands: medium-dark skin tone,,,Julian Grüneberg,4,👐,1F450,2,2074
👐🏿,1F450-1F3FF,smileys-people,body,open hands: dark skin tone,,,Julian Grüneberg,5,👐,1F450,2,2075
🙌,1F64C,smileys-people,body,raising hands,"celebration, gesture, hand, hooray, raised","Raising Hands, Raising, Hands, celebration, gesture, hand, hooray, raised, Arms In The Air, Banzai, Festivus Miracle, Hallelujah, Praise Hands, Two Hands",Julian Grüneberg,,🙌,1F64C,1,2076
🙌🏻,1F64C-1F3FB,smileys-people,body,raising hands: light skin tone,,,Julian Grüneberg,1,🙌,1F64C,2,2077
🙌🏼,1F64C-1F3FC,smileys-people,body,raising hands: medium-light skin tone,,,Julian Grüneberg,2,🙌,1F64C,2,2078
🙌🏽,1F64C-1F3FD,smileys-people,body,raising hands: medium skin tone,,,Julian Grüneberg,3,🙌,1F64C,2,2079
🙌🏾,1F64C-1F3FE,smileys-people,body,raising hands: medium-dark skin tone,,,Julian Grüneberg,4,🙌,1F64C,2,2080
🙌🏿,1F64C-1F3FF,smileys-people,body,raising hands: dark skin tone,,,Julian Grüneberg,5,🙌,1F64C,2,2081
🤲,1F932,smileys-people,body,palms up together,prayer,"prayer, pray, god",Julian Grüneberg,,🤲,1F932,5,2082
🤲🏻,1F932-1F3FB,smileys-people,body,palms up together: light skin tone,,,Julian Grüneberg,1,🤲,1F932,5,2083
🤲🏼,1F932-1F3FC,smileys-people,body,palms up together: medium-light skin tone,,,Julian Grüneberg,2,🤲,1F932,5,2084
🤲🏽,1F932-1F3FD,smileys-people,body,palms up together: medium skin tone,,,Julian Grüneberg,3,🤲,1F932,5,2085
🤲🏾,1F932-1F3FE,smileys-people,body,palms up together: medium-dark skin tone,,,Julian Grüneberg,4,🤲,1F932,5,2086
🤲🏿,1F932-1F3FF,smileys-people,body,palms up together: dark skin tone,,,Julian Grüneberg,5,🤲,1F932,5,2087
🙏,1F64F,smileys-people,body,folded hands,"ask, hand, please, pray, thanks","ask, bow, folded, gesture, hand, please, pray, thanks",Julian Grüneberg,,🙏,1F64F,1,2088
🙏🏻,1F64F-1F3FB,smileys-people,body,folded hands: light skin tone,,,Julian Grüneberg,1,🙏,1F64F,2,2089
🙏🏼,1F64F-1F3FC,smileys-people,body,folded hands: medium-light skin tone,,,Julian Grüneberg,2,🙏,1F64F,2,2090
🙏🏽,1F64F-1F3FD,smileys-people,body,folded hands: medium skin tone,,,Julian Grüneberg,3,🙏,1F64F,2,2091
🙏🏾,1F64F-1F3FE,smileys-people,body,folded hands: medium-dark skin tone,,,Julian Grüneberg,4,🙏,1F64F,2,2092
🙏🏿,1F64F-1F3FF,smileys-people,body,folded hands: dark skin tone,,,Julian Grüneberg,5,🙏,1F64F,2,2093
🤝,1F91D,smileys-people,body,handshake,"agreement, hand, meeting, shake","Shaking Hands, agreement, hand, meeting, shake, hello, bye, goodbye",Julian Grüneberg,,,,3,2094
👂️,1F442,smileys-people,body,ear,body,"ear, hear, listen",Julian Grüneberg,,👂️,1F442,1,2101
👂🏻,1F442-1F3FB,smileys-people,body,ear: light skin tone,,,Julian Grüneberg,1,👂️,1F442,2,2102
👂🏼,1F442-1F3FC,smileys-people,body,ear: medium-light skin tone,,,Julian Grüneberg,2,👂️,1F442,2,2103
👂🏽,1F442-1F3FD,smileys-people,body,ear: medium skin tone,,,Julian Grüneberg,3,👂️,1F442,2,2104
👂🏾,1F442-1F3FE,smileys-people,body,ear: medium-dark skin tone,,,Julian Grüneberg,4,👂️,1F442,2,2105
👂🏿,1F442-1F3FF,smileys-people,body,ear: dark skin tone,,,Julian Grüneberg,5,👂️,1F442,2,2106
👃,1F443,smileys-people,body,nose,body,"nose, smell",Julian Grüneberg,,👃,1F443,1,2107
👃🏻,1F443-1F3FB,smileys-people,body,nose: light skin tone,,,Julian Grüneberg,1,👃,1F443,2,2108
👃🏼,1F443-1F3FC,smileys-people,body,nose: medium-light skin tone,,,Julian Grüneberg,2,👃,1F443,2,2109
👃🏽,1F443-1F3FD,smileys-people,body,nose: medium skin tone,,,Julian Grüneberg,3,👃,1F443,2,2110
👃🏾,1F443-1F3FE,smileys-people,body,nose: medium-dark skin tone,,,Julian Grüneberg,4,👃,1F443,2,2111
👃🏿,1F443-1F3FF,smileys-people,body,nose: dark skin tone,,,Julian Grüneberg,5,👃,1F443,2,2112
👣,1F463,smileys-people,body,footprints,"clothing, footprint, print","clothing, footprint, print",Julian Grüneberg,,,,1,2117
👀,1F440,smileys-people,body,eyes,"eye, face","eye, face, eyes",Julian Grüneberg,,,,1,2118
👁️,1F441,smileys-people,body,eye,body,"eye, face",Julian Grüneberg,,,,1,2120
👁️‍🗨️,1F441-FE0F-200D-1F5E8-FE0F,smileys-people,body,eye in speech bubble,"eye, speech bubble, witness","eye, speech bubble, witness",Julian Grüneberg,,,,4,2121
🧠,1F9E0,smileys-people,body,brain,intelligent,"brain, intelligent, clever",Julian Grüneberg,,,,5,2125
👅,1F445,smileys-people,body,tongue,body,"tongue, kiss, lick, licking",Julian Grüneberg,,,,1,2128
👄,1F444,smileys-people,body,mouth,lips,"lips, kiss, mouth",Julian Grüneberg,,,,1,2129
💋,1F48B,smileys-people,emotion,kiss mark,"kiss, lips",love,Laura Humpfer,,,,1,2130
💘,1F498,smileys-people,emotion,heart with arrow,"arrow, cupid","love, inlove",Laura Humpfer,,,,1,2131
❤️,2764,smileys-people,emotion,red heart,heart,"love, red",Laura Humpfer,,,,1,2133
💓,1F493,smileys-people,emotion,beating heart,"beating, heartbeat, pulsating",love,Laura Humpfer,,,,1,2134
💔,1F494,smileys-people,emotion,broken heart,"break, broken",heartbreak,Laura Humpfer,,,,1,2135
💕,1F495,smileys-people,emotion,two hearts,love,,Laura Humpfer,,,,1,2136
💖,1F496,smileys-people,emotion,sparkling heart,"excited, sparkle","love, inlove",Laura Humpfer,,,,1,2137
💗,1F497,smileys-people,emotion,growing heart,"excited, growing, nervous, pulse","love, inlove",Laura Humpfer,,,,1,2138
💙,1F499,smileys-people,emotion,blue heart,blue,,Laura Humpfer,,,,1,2139
💚,1F49A,smileys-people,emotion,green heart,green,,Laura Humpfer,,,,1,2140
💛,1F49B,smileys-people,emotion,yellow heart,yellow,,Laura Humpfer,,,,1,2141
💜,1F49C,smileys-people,emotion,purple heart,purple,,Laura Humpfer,,,,1,2143
🖤,1F5A4,smileys-people,emotion,black heart,"black, evil, wicked",,Laura Humpfer,,,,3,2144
💝,1F49D,smileys-people,emotion,heart with ribbon,"ribbon, valentine","present, love",Laura Humpfer,,,,1,2145
💞,1F49E,smileys-people,emotion,revolving hearts,revolving,,Laura Humpfer,,,,1,2146
💟,1F49F,smileys-people,emotion,heart decoration,heart,,Laura Humpfer,,,,1,2147
❣️,2763,smileys-people,emotion,heavy heart exclamation,"exclamation, mark, punctuation",,Laura Humpfer,,,,1,2149
💌,1F48C,smileys-people,emotion,love letter,"heart, letter, love, mail",,Laura Humpfer,,,,1,2150
💤,1F4A4,smileys-people,emotion,zzz,"comic, sleep",night,Laura Humpfer,,,,1,2151
💣️,1F4A3,smileys-people,emotion,bomb,comic,explosion,Laura Humpfer,,,,1,2153
💥,1F4A5,smileys-people,emotion,collision,"boom, comic",explosion,Laura Humpfer,,,,1,2154
💦,1F4A6,smileys-people,emotion,sweat droplets,"comic, splashing, sweat",,Laura Humpfer,,,,1,2155
💨,1F4A8,smileys-people,emotion,dashing away,"comic, dash, running",,Laura Humpfer,,,,1,2156
💫,1F4AB,smileys-people,emotion,dizzy,"comic, star",shootingstar,Laura Humpfer,,,,1,2157
💬,1F4AC,smileys-people,emotion,speech balloon,"balloon, bubble, comic, dialog, speech",talk,Laura Humpfer,,,,1,2158
🗨️,1F5E8,smileys-people,emotion,left speech bubble,"dialog, speech",,Laura Humpfer,,,,2,2160
🗯️,1F5EF,smileys-people,emotion,right anger bubble,"angry, balloon, bubble, mad",,Laura Humpfer,,,,1,2162
💭,1F4AD,smileys-people,emotion,thought balloon,"balloon, bubble, comic, thought",think,Laura Humpfer,,,,1,2163
🕳️,1F573,smileys-people,emotion,hole,hole,,Laura Humpfer,,,,1,2165
👓️,1F453,smileys-people,clothing,glasses,"clothing, eye, eyeglasses, eyewear",,Jonas Roßner,,,,1,2166
🕶️,1F576,smileys-people,clothing,sunglasses,"dark, eye, eyewear, glasses",sunglasses,Jonas Roßner,,,,1,2168
👔,1F454,smileys-people,clothing,necktie,"clothing, tie","cravatte, smart",Jonas Roßner,,,,1,2171
👕,1F455,smileys-people,clothing,t-shirt,"clothing, shirt, tshirt",,Jonas Roßner,,,,1,2172
👖,1F456,smileys-people,clothing,jeans,"clothing, pants, trousers",,Jonas Roßner,,,,1,2173
👗,1F457,smileys-people,clothing,dress,clothing,"beautiful, dress, woman",Jonas Roßner,,,,1,2178
👘,1F458,smileys-people,clothing,kimono,clothing,"japan, clothing",Jonas Roßner,,,,1,2179
👙,1F459,smileys-people,clothing,bikini,"clothing, swim","summer,",Jonas Roßner,,,,1,2180
👚,1F45A,smileys-people,clothing,woman’s clothes,"clothing, woman",,Jonas Roßner,,,,1,2181
👛,1F45B,smileys-people,clothing,purse,"clothing, coin","money,",Jonas Roßner,,,,1,2182
👜,1F45C,smileys-people,clothing,handbag,"bag, clothing, purse",,Jonas Roßner,,,,1,2183
👝,1F45D,smileys-people,clothing,clutch bag,"bag, clothing, pouch",,Jonas Roßner,,,,1,2184
🛍️,1F6CD,smileys-people,clothing,shopping bags,"bag, hotel, shopping","buy,",Jonas Roßner,,,,1,2186
🎒,1F392,smileys-people,clothing,backpack,"bag, rucksack, satchel, school","young,",Jonas Roßner,,,,1,2187
👞,1F45E,smileys-people,clothing,man’s shoe,"clothing, man, shoe",,Jonas Roßner,,,,1,2188
👟,1F45F,smileys-people,clothing,running shoe,"athletic, clothing, shoe, sneaker",,Jonas Roßner,,,,1,2189
👠,1F460,smileys-people,clothing,high-heeled shoe,"clothing, heel, shoe, woman",,Jonas Roßner,,,,1,2192
👡,1F461,smileys-people,clothing,woman’s sandal,"clothing, sandal, shoe, woman",,Jonas Roßner,,,,1,2193
👢,1F462,smileys-people,clothing,woman’s boot,"boot, clothing, shoe, woman",,Jonas Roßner,,,,1,2194
👑,1F451,smileys-people,clothing,crown,"clothing, king, queen","crone, gold,",Jonas Roßner,,,,1,2195
👒,1F452,smileys-people,clothing,woman’s hat,"clothing, hat, woman","beautiful,",Jonas Roßner,,,,1,2196
🎩,1F3A9,smileys-people,clothing,top hat,"clothing, hat, top, tophat","magic,",Jonas Roßner,,,,1,2197
🎓️,1F393,smileys-people,clothing,graduation cap,"cap, celebration, clothing, graduation, hat",,Jonas Roßner,,,,1,2198
📿,1F4FF,smileys-people,clothing,prayer beads,"beads, clothing, necklace, prayer, religion","expensive, jewelry",Jonas Roßner,,,,1,2202
💍,1F48D,smileys-people,clothing,ring,diamond,"expensive, jewelry",Jonas Roßner,,,,1,2204
💎,1F48E,smileys-people,clothing,gem stone,"diamond, gem, jewel","expensive,",Jonas Roßner,,,,1,2205
🐵,1F435,animals-nature,animal-mammal,monkey face,"face, monkey","jungle, ape, evolution, primate, africa",Sofie Ascherl,,,,1,2206
🐒,1F412,animals-nature,animal-mammal,monkey,monkey,"jungle, ape, evolution, primate",Sofie Ascherl,,,,1,2207
🦍,1F98D,animals-nature,animal-mammal,gorilla,gorilla,"monkey, primate, evolution",Sofie Ascherl,,,,3,2208
🐶,1F436,animals-nature,animal-mammal,dog face,"dog, face, pet","friend, puppy, doggy",Sofie Ascherl,,,,1,2209
🐕️,1F415,animals-nature,animal-mammal,dog,pet,"puppy, doggy",Sofie Ascherl,,,,1,2210
🐺,1F43A,animals-nature,animal-mammal,wolf face,"face, wolf","pack, wild, free, forest, dog",Sofie Ascherl,,,,1,2212
🦊,1F98A,animals-nature,animal-mammal,fox face,"face, fox","smart, red, quick, intelligent",Sofie Ascherl,,,,3,2213
🐱,1F431,animals-nature,animal-mammal,cat face,"cat, face, pet","pet, kitty, kitten, miau",Sofie Ascherl,,,,1,2215
🐈️,1F408,animals-nature,animal-mammal,cat,pet,"pet, kitty, kitten, miau",Sofie Ascherl,,,,1,2216
🦁,1F981,animals-nature,animal-mammal,lion face,"face, leo, lion, zodiac","king, simba, royal, wild, cat",Sofie Ascherl,,,,1,2217
🐯,1F42F,animals-nature,animal-mammal,tiger face,"face, tiger","stripes, strong, cat, wild",Sofie Ascherl,,,,1,2218
🐅,1F405,animals-nature,animal-mammal,tiger,tiger,"stripes, strong, cat, wild",Sofie Ascherl,,,,1,2219
🐆,1F406,animals-nature,animal-mammal,leopard,leopard,"dots, strong, cat, wild, spots",Sofie Ascherl,,,,1,2220
🐴,1F434,animals-nature,animal-mammal,horse face,"face, horse","riding, sport",Sofie Ascherl,,,,1,2221
🐎,1F40E,animals-nature,animal-mammal,horse,"equestrian, racehorse, racing","riding, sport",Sofie Ascherl,,,,1,2222
🦄,1F984,animals-nature,animal-mammal,unicorn face,"face, unicorn","fabulous, magical, rainbow, schwäbisch, gmünd",Sofie Ascherl,,,,1,2223
🦓,1F993,animals-nature,animal-mammal,zebra,stripe,"horse, black, white",Sofie Ascherl,,,,5,2224
🦌,1F98C,animals-nature,animal-mammal,deer,deer,"forest, hunt, antler",Sofie Ascherl,,,,3,2225
🐮,1F42E,animals-nature,animal-mammal,cow face,"cow, face","farm, milk, beef, grass, dairy, horns, cheese",Sofie Ascherl,,,,1,2226
